Hindi,English
आपकी ,Yours
लड़का ,Boy
उह ,Uh
समस्या ,Problem
बुरा ,bad
सुंदर ,Beautiful!
छोटे ,Small
बताया ,Told
खत्म ,End
आने ,Arrival
माफ ,Forgive
कमबख्त ,Fucking
यार ,Buddy
बीच ,Middle
दूसरे ,Others
काफी ,Enough
भूल ,Mistake
ध्यान ,Meditation
हुई ,Hui
तब ,Then
बेटी ,daughter
रहने ,Stay
खेल ,Play
बड़ा ,Big
माफी ,Forgiveness
बच्चों ,Children
शहर ,city
आह ,Ahh
पूरा ,Complete
बदल ,change
देने ,Give
देखते ,Sight
देर ,Late
डाल ,Branch
बिल्कुल ,Absolutely
कई ,many
वाह ,Wow
सोच ,Thinking
भुगतान ,payment
जैक ,Jack
बेटे ,Son
मुझ ,Me
पानी ,Water
महोदय ,Sir
आग ,fire
देता ,Given
आते ,Come
कहां ,Where?
चिंता ,anxiety
रखना ,keep
उससे ,In
पहली ,First
बनाने ,Make
गोली ,Gun Shot
माध्यम ,Channel
कितना ,How much?
सुरक्षित ,Safe
देखना ,See
वहां ,There
इससे ,by this
इसका ,its
मारा ,hit
पत्नी ,wife
रहना ,Live
पार्टी ,Party
अन्य ,other
अच्छे ,Good
हैलो ,Hello!
महान ,Great
आए ,Returns
क्षमा ,pardon
पिछले ,last
मारने ,Kill
रहते ,Live
वादा ,promise
राजा ,King
इंतजार ,Waiting
उनकी ,His
सुबह ,Morning
सिर ,head
नए ,New
विचार ,thought
दोस्तों ,Friends
योजना ,Plan
प्राप्त ,Received
घंटे ,hours
खुश ,Happy 
अंत ,the ending
करती ,Do
करेगा ,Will do
थोड़ा ,little
सम्मान ,Respect
आदेश ,Order
पूरे ,Full
अलग ,different
उम्मीद ,Hope
आर ,Anything else
पाने ,Get
औरत ,women
इतनी ,So much
